cod_ibge;municipio;state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
2208403;Piripiri ;PI;100589;108461;132000;147752;181879;194596;223041;260798;322809;358822;404401;447818;530307;584212;641357;657240;718877
2208502;Porto ;PI;13589;15645;17152;16776;20388;23924;27078;31556;36783;41918;46627;57464;65916;73255;75514;80877;90772
2208551;Porto Alegre do Piauí ;PI;3787;4777;5035;6310;7962;8906;13546;14475;12153;17396;19436;20501;22771;19962;21606;22698;22740
2208601;Prata do Piauí ;PI;3431;4559;5296;5482;6153;7966;8882;10608;11675;12818;13442;15802;18216;19244;21069;22044;24619
2208650;Queimada Nova ;PI;18824;15397;16292;17609;20671;26942;28979;28433;30538;36139;38696;44304;49806;57679;62820;68303;75026
2208700;Redenção do Gurguéia ;PI;11300;13467;15896;17222;19601;21250;26849;31773;31793;38844;43234;47888;54538;59238;58863;67413;73763
2208809;Regeneração ;PI;22062;26150;29242;31516;36397;41493;51273;62038;66193;79105;91932;99859;115955;134724;139722;157687;185292
2208858;Riacho Frio ;PI;7377;9061;9695;9258;10127;12730;14746;16415;16618;19486;21299;24136;27629;30778;33083;35147;37431
2208874;Ribeira do Piauí ;PI;4878;6515;7115;7772;8725;10141;11301;12871;13333;16315;16080;18945;21977;23866;44119;111343;229983
2208908;Ribeiro Gonçalves ;PI;29826;60872;66081;66296;57375;68789;132817;120358;81673;135087;190295;187629;276033;245324;124005;346829;399082
2209005;Rio Grande do Piauí ;PI;8289;11318;11681;13452;13349;15047;18587;20581;23613;24937;27258;31970;36833;40154;41316;44690;50419
2209104;Santa Cruz do Piauí ;PI;7521;8736;9605;10720;11898;13096;15729;18801;21176;26533;28626;34054;38766;41326;46279;48960;53106
2209153;Santa Cruz dos Milagres ;PI;7128;9099;8623;8472;8738;10000;10789;12448;14783;17816;18087;21123;25923;28090;31227;32598;34845
2209203;Santa Filomena ;PI;12317;24983;35476;43497;37294;45018;94526;89475;71648;104609;117758;97069;158867;203591;90202;213171;322460
2209302;Santa Luz ;PI;6718;9125;9388;10840;10757;12054;14964;18227;19641;25813;26790;30196;35155;36862;39916;45876;47510
2209351;Santana do Piauí ;PI;5419;6311;7361;7826;9021;10123;11996;13589;16208;18907;18703;20549;24837;28239;29788;32726;35553
2209377;Santa Rosa do Piauí ;PI;6186;7974;8513;8862;10673;11661;13865;15724;16897;20164;22312;25063;29777;31148;34990;35823;36933
2209401;Santo Antônio de Lisboa ;PI;7112;9267;10554;14066;18119;16602;20139;21952;27079;33995;33166;38347;42178;42388;45849;58173;61279
2209450;Santo Antônio dos Milagres ;PI;2384;3270;3271;3472;3887;4440;4926;5750;7218;9466;9084;10303;11715;12066;13362;12993;14126
2209500;Santo Inácio do Piauí ;PI;4575;5311;5612;6170;7113;8028;9386;11378;12502;15939;15932;18632;23177;24143;26603;27386;31539
2209559;São Braz do Piauí ;PI;4992;6021;6907;8358;8495;9741;10808;13734;13564;17671;16866;20167;22045;26714;27208;27904;32220
2209609;São Félix do Piauí ;PI;5420;6457;6858;6393;7229;8073;9476;10112;10984;12862;13000;16596;20010;21128;22883;24218;27495
2209658;São Francisco de Assis do Piauí ;PI;4376;6092;7456;8226;9808;11784;13197;14732;17533;20227;23874;27484;32016;35440;37034;39059;42227
2209708;São Francisco do Piauí ;PI;7790;8630;9877;10372;11464;12407;14875;18919;21607;27041;28411;35794;39527;42378;45037;48066;50839
2209757;São Gonçalo do Gurguéia ;PI;3775;5250;6278;6206;6997;7483;9234;10726;12398;14331;16651;19785;23820;25378;22329;28734;32270
2209807;São Gonçalo do Piauí ;PI;5726;6898;8405;8449;9550;10627;13193;15248;16826;19976;20439;22679;28936;27919;30925;35346;42130
2209856;São João da Canabrava ;PI;5339;6821;7286;7893;10909;10682;12111;14235;15434;18897;19990;21180;25034;27295;29766;32463;36045
2209872;São João da Fronteira ;PI;7101;8572;8945;9421;12706;14703;15176;16350;20830;23614;25606;28130;40342;37426;38556;44499;47045
2209906;São João da Serra ;PI;9176;10835;11381;12472;15206;17902;20253;20971;22488;25281;27249;30255;36062;40360;42935;47054;50047
2209955;São João da Varjota ;PI;4848;7375;6959;7193;8491;10026;11573;13325;14906;17900;17395;19669;23178;24493;27335;29829;30369
2209971;São João do Arraial ;PI;6521;7941;8715;9719;11798;14517;15913;19915;21895;25448;27737;36868;36250;39602;44296;46382;51820
2210003;São João do Piauí ;PI;28693;30139;39120;48664;63940;62898;76159;77521;90372;102922;121717;144378;160303;168692;195527;215814;228973
2210052;São José do Divino ;PI;7455;9756;11310;11140;14057;14575;16335;18122;20943;25578;28319;32130;37817;38237;42414;45380;49103
2210102;São José do Peixe ;PI;5603;7336;7202;8098;8941;10174;12305;14888;16170;18741;20057;21179;26019;28237;31150;32442;33916
2210201;São José do Piauí ;PI;8422;10797;11093;13430;16564;17760;21606;23404;24750;31903;29153;35240;39024;44614;45442;51981;57381
2210300;São Julião ;PI;7385;8773;9650;11156;13725;14625;19836;18940;21407;25195;25988;28969;34636;37428;42057;43991;47878
2210359;São Lourenço do Piauí ;PI;5119;6158;6723;8016;8644;10383;12069;12905;14275;17031;18122;22027;26393;27400;29491;29905;32740
2210375;São Luis do Piauí ;PI;3020;3861;4004;4261;5455;5860;6560;7851;8559;10337;10854;11791;13933;14694;16579;17237;19123
2210383;São Miguel da Baixa Grande ;PI;2720;3203;3389;3579;4714;5682;6404;7355;8899;10323;11233;13188;15694;16719;19459;20291;21952
2210391;São Miguel do Fidalgo ;PI;4118;5674;5420;6295;6878;8335;9608;11007;11144;13438;13173;15087;17881;19367;21761;23516;22823
2210409;São Miguel do Tapuio ;PI;23562;28588;30497;32288;37002;39355;50424;54165;58596;70301;77257;84649;96734;104301;116472;121266;133164
2210508;São Pedro do Piauí ;PI;18420;23477;27416;26160;32278;34942;41055;44980;49763;56089;67176;74989;86698;99647;99366;102648;104480
2210607;São Raimundo Nonato ;PI;58822;68674;70282;85676;102984;114998;124114;153108;173530;212507;234758;268778;324622;354324;388810;407818;448746
2210623;Sebastião Barros ;PI;7195;8646;8886;9551;10972;11548;14349;18014;18664;21128;22644;25756;28365;31060;31417;35080;38284
2210631;Sebastião Leal ;PI;7825;20041;26564;28465;29250;30947;43764;49461;71133;66735;79419;70573;83292;69007;43882;123309;148951
2210656;Sigefredo Pacheco ;PI;11231;13577;14347;15549;19076;21346;25241;28373;31721;36128;39608;42745;48673;51512;55614;61780;65281
2210706;Simões ;PI;15828;19273;22349;24538;28792;34402;40560;45369;51075;60295;67154;70485;81533;98081;114367;464217;259486
2210805;Simplício Mendes ;PI;15738;17876;21667;25571;28823;34559;46899;48996;55840;66689;74103;92105;105887;115324;128653;132454;142342
2210904;Socorro do Piauí ;PI;5706;6497;7418;7217;8418;10480;11398;13644;14848;17886;19309;20944;22153;26446;29531;33472;31871
2210938;Sussuapara ;PI;7084;8761;9849;10586;13852;17389;23563;23280;27950;30442;34653;37819;44873;49046;53415;48243;55339
2210953;Tamboril do Piauí ;PI;4004;5280;5213;5693;6664;7612;8427;9917;10586;12158;11920;14144;17104;19400;20444;21916;24343
2210979;Tanque do Piauí ;PI;3442;3997;5416;4896;6332;6867;8897;10989;10708;13348;13263;16439;20373;20634;22196;27097;26884
2211001;Teresina ;PI;3521169;4018895;4248470;4995762;6644581;6422132;7263144;8692782;10627694;12174255;13347531;14753990;17774629;17637197;19161573;19117641;20961472
2211100;União ;PI;73408;79037;88614;102194;114272;136133;156951;177540;207504;233006;252609;251621;275740;300514;324598;338820;365879
2211209;Uruçuí ;PI;76185;180606;228349;238716;222950;226227;400186;491715;427632;566240;777648;663087;954245;1026284;776453;1261586;1703353
2211308;Valença do Piauí ;PI;37991;43314;51617;55895;70676;67587;80496;90069;101604;117208;128986;144804;175328;185160;207326;223659;239353
2211357;Várzea Branca ;PI;5271;6591;7046;8352;8867;9749;11309;14572;15465;18386;19178;22279;26341;28674;30008;34735;37444
2211407;Várzea Grande ;PI;6368;8183;10521;9062;10707;11731;12472;14608;17011;19334;19496;21376;25249;26136;29678;30919;32649
2211506;Vera Mendes ;PI;4233;5044;4764;5678;7097;8121;9444;11729;12027;14022;14733;16018;19413;19262;21734;24082;25815
2211605;Vila Nova do Piauí ;PI;4271;5163;6511;7662;9423;10052;10707;13342;14967;18895;18083;19746;22829;24298;29262;28812;29804
2211704;Wall Ferraz ;PI;5102;6457;7357;7369;9320;10351;11963;15303;15323;18471;18467;21553;24663;25783;29545;31400;34037
2300101;Abaiara ;CE;14098;17657;16808;17153;22869;25383;30985;34757;36543;50943;43079;50468;64718;66037;73672;92951;85846
2300150;Acarape ;CE;31452;32448;33397;33577;36982;42765;50859;56351;65662;78626;80292;102164;114161;118734;127927;150071;124356
2300200;Acaraú ;CE;101584;124068;146593;151979;171739;190070;225541;239320;327756;388168;415815;467824;523629;551031;581919;634060;558812
2300309;Acopiara ;CE;85309;94074;101418;103497;123962;127767;160679;170027;213402;257300;262793;287937;334997;348629;376458;396748;379578
2300408;Aiuaba ;CE;18080;23473;23256;29550;37163;38449;50232;48215;51656;72017;67267;78557;93440;106085;101735;104668;111163
2300507;Alcântaras ;CE;15089;17349;17539;21533;22937;26489;29317;32916;37015;45163;45214;47742;59834;59306;59520;69284;75015
2300606;Altaneira ;CE;9289;10409;11469;12431;15410;17005;20859;22710;23342;28775;33982;37585;47454;43730;45370;53087;49689
2300705;Alto Santo ;CE;57635;35944;38299;40261;45855;55847;68922;77369;80559;86327;86036;105060;125514;129449;132993;145319;152308
2300754;Amontada ;CE;96929;117176;130447;154484;165374;151945;191631;203450;240831;298074;288676;285779;366321;318742;421866;431415;435221
2300804;Antonina do Norte ;CE;11425;13430;14399;16694;21001;20701;26524;26379;28053;33422;36463;41968;48522;47877;51626;57873;53423
2300903;Apuiarés ;CE;17409;19824;21485;26531;30582;31683;38962;42272;49057;55136;56220;66228;79514;86910;92827;114655;100811
2301000;Aquiraz ;CE;253877;272761;322330;344180;371462;408212;528899;615087;768348;877881;1087571;1548885;1651351;1828068;2157485;2205947;1959663
2301109;Aracati ;CE;218042;257054;314128;328460;356955;366286;433185;472207;577081;709558;871921;990305;1084381;1162571;1217460;1275711;1126870
2301208;Aracoiaba ;CE;42888;47535;50677;56749;64130;67604;84135;93793;98749;118202;119216;138521;161504;175639;190898;205049;197161
2301257;Ararendá ;CE;16655;18525;19619;21276;25096;26012;33394;33554;35048;44552;43566;47808;57693;60571;64808;78721;78076
2301307;Araripe ;CE;30101;39224;39441;46583;54970;59195;73651;82196;85919;99439;100588;121403;155186;150348;148355;161910;144917
2301406;Aratuba ;CE;27788;37429;40735;39869;51170;47805;59396;57495;68739;70954;70845;65219;82423;83743;93365;148415;129854
2301505;Arneiroz ;CE;12708;14498;14949;17458;19318;20264;27325;26239;30506;35038;33532;35319;42165;46165;50166;53342;54124
2301604;Assaré ;CE;33507;42933;41651;45162;57430;58517;76253;98667;86370;112069;113185;141881;177457;160025;151369;219085;162680
2301703;Aurora ;CE;44918;58390;48296;55528;69281;65529;87216;96054;97152;130042;119568;137710;166863;169293;175856;194773;185521
2301802;Baixio ;CE;8798;10945;11094;12655;15127;14155;18901;20187;22268;26539;26517;31240;37478;39911;41926;45673;57334
2301851;Banabuiú ;CE;30985;41671;49200;55965;61723;69121;90156;82968;83348;106386;95090;108874;128004;135281;142328;165116;161090
2301901;Barbalha ;CE;152974;153272;167947;183931;220323;237118;298219;354358;464715;508696;590900;578694;728017;707853;854808;926510;861470
2301950;Barreira ;CE;32965;37869;44009;47932;54394;56517;68675;74751;79705;94907;142380;111136;124663;135582;145795;164954;155616
2302008;Barro ;CE;42701;45046;42057;45160;60953;58577;83269;86129;94975;99156;105250;121567;141029;149082;156147;179641;173383
2302057;Barroquinha ;CE;20954;26472;28907;34042;36515;42149;51555;53624;57700;66529;71780;78006;92032;96717;96980;102556;99865
2302107;Baturité ;CE;68525;82242;95228;100430;117248;120013;137319;150184;196688;223883;219063;237707;335146;327536;298091;368450;324258
2302206;Beberibe ;CE;100828;125301;137688;155496;178174;188294;248523;271699;328009;419741;428009;499228;581926;621283;632728;798724;734254
2302305;Bela Cruz ;CE;39464;46996;49942;57048;65468;69121;83178;91637;105038;125427;132879;150927;167162;187225;205275;239169;238667
2302404;Boa Viagem ;CE;96824;113999;111059;122004;145725;146747;201124;191375;230697;275148;206318;285693;337438;345382;368213;404589;382776
2302503;Brejo Santo ;CE;86476;114158;104019;126149;147759;154764;183812;201456;246828;315626;307111;334378;539086;593572;686692;591211;503299
2302602;Camocim ;CE;121862;154432;185335;199006;204821;232357;257645;278019;377211;399157;542984;450700;536578;545101;613524;663652;570991
2302701;Campos Sales ;CE;49422;46709;57215;63716;74543;76450;93158;102335;121510;142526;148208;171344;199452;199437;201419;225833;189036
2302800;Canindé ;CE;151865;166701;182103;199084;228607;236989;321382;301376;364415;431699;440712;458613;566151;615599;643018;713727;632734
2302909;Capistrano ;CE;25671;34175;33171;38577;48350;46163;58144;59423;69708;84911;78193;87922;111956;110870;113574;148379;174853
2303006;Caridade ;CE;41010;36214;35122;34390;41896;43372;60223;59584;71756;83329;80672;82660;101595;111431;116149;126878;126292
2303105;Cariré ;CE;27803;38807;35760;39303;45401;48583;58490;62550;68506;77109;78563;86581;99224;110727;119520;141115;151595
2303204;Caririaçu ;CE;41408;51641;51675;51720;62799;64501;82488;93436;100203;110101;110841;130863;155775;156561;177432;199735;202562
2303303;Cariús ;CE;26154;32253;34809;35490;40323;44143;52930;58150;67280;74999;69583;81832;107209;104195;129647;138687;137713
2303402;Carnaubal ;CE;21481;25762;29397;34385;39827;39612;50434;56951;63877;80335;80918;89526;102348;96758;108308;119644;117306
2303501;Cascavel ;CE;240928;262871;345338;353426;308125;301473;393873;402209;477434;521580;580004;640554;777588;822905;874540;896071;737678
2303600;Catarina ;CE;20361;23375;26817;30714;35209;36232;46135;48392;58323;65562;66068;77238;90472;98351;104171;111491;119198
2303659;Catunda ;CE;16244;18541;17360;20320;27772;25846;36723;36093;44941;62925;49841;62428;77222;76508;81492;85801;80606
2303709;Caucaia ;CE;836958;973170;1113780;1232377;1532514;1751050;2102938;2301594;2842606;3283060;3853817;4750602;5582491;5743008;5443796;5862516;5075424
2303808;Cedro ;CE;38038;47692;50460;54519;64685;65914;80659;92416;104132;117748;123380;133563;166772;171302;184395;187814;180035
2303907;Chaval ;CE;16785;19876;22318;27311;29811;30700;39200;43639;47895;52678;58543;65653;73708;75915;81616;92311;80920
2303931;Choró ;CE;22023;23353;22615;26001;28150;30095;38168;43919;44039;54829;52844;58757;69800;71054;73022;83643;79702
2303956;Chorozinho ;CE;35176;39225;43292;47036;52801;55968;64536;71661;94614;102721;94109;111909;128139;132403;139148;268126;352808
2304004;Coreaú ;CE;28731;34269;35553;48156;47440;50466;64111;72543;80538;87186;92051;105188;119973;127735;134921;150373;144986
2304103;Crateús ;CE;151776;193228;209551;233677;281748;279728;309116;337990;379567;456132;441345;479661;618322;627712;666759;745345;682761
2304202;Crato ;CE;376323;428253;466405;504322;565309;606692;723083;817764;985410;1014068;1092835;1180605;1419549;1419884;1512879;1537775;1348194
2304236;Croatá ;CE;24884;31168;34644;39333;45337;45879;61193;59920;68154;80077;75486;93684;100561;100814;116341;131525;138490
2304251;Cruz ;CE;36500;40634;43453;51429;60762;62394;79797;83633;92645;104786;112940;124806;143382;172982;190953;229864;215876
2304269;Deputado Irapuan Pinheiro ;CE;15474;17861;18149;21750;24706;24377;34838;34792;35968;43431;39802;47443;57296;60004;65245;66828;61476
2304277;Ererê ;CE;10504;12451;13389;14797;16551;18416;23461;25453;26419;29702;31184;35785;42873;46033;51363;52315;50360
2304285;Eusébio ;CE;441203;456736;586852;634461;713405;833211;1016933;1183720;1404071;1595088;1657810;2071769;2543038;2724213;3079857;2956704;2476375
2304301;Farias Brito ;CE;32132;40526;39703;42531;52233;50783;63661;66439;75301;90282;92458;103446;197370;137169;130607;194785;154741
2304350;Forquilha ;CE;30887;36946;46181;57525;55229;61406;71528;80249;91466;101667;105708;115944;136770;151763;179012;208815;186069
2304400;Fortaleza ;CE;13413450;15224896;17097518;19218898;21686209;24042584;27960812;32059070;37001831;41394561;45775429;49758763;56116644;57211200;60088001;61592347;67024088
2304459;Fortim ;CE;41807;61601;57993;43854;44752;51347;61025;68575;74667;92245;100038;117447;130698;141535;140985;157617;160401
2304509;Frecheirinha ;CE;20860;26122;26828;30132;36585;37888;47301;53612;64828;75604;76708;104417;157911;190628;219200;250155;253064
2304608;General Sampaio ;CE;9373;11557;12222;13008;15184;17536;23016;25230;28344;33334;33495;37793;43740;45660;44118;53075;57991
2304657;Graça ;CE;20925;24770;26843;29790;36518;37353;43196;48404;54293;57914;59906;64751;76852;81956;86414;96013;102043
2304707;Granja ;CE;61403;71813;79504;90711;107909;121254;148594;160284;185041;201240;200508;242140;284385;324554;374710;367695;366268
2304806;Granjeiro ;CE;8100;9609;10196;11273;13346;14830;20175;20672;18993;21540;24435;24620;31341;30297;31750;38618;42472
2304905;Groaíras ;CE;14084;16999;17318;18750;21185;24652;28606;31135;38000;42029;44675;52723;64077;67260;70042;77900;77811
2304954;Guaiúba ;CE;33316;36571;40612;45611;51111;58825;70363;77790;104479;113232;113369;135903;153782;161180;168289;209217;203414
2305001;Guaraciaba do Norte ;CE;68785;88141;98672;109143;131351;142143;177293;167716;208952;237684;233660;279721;319552;325966;359802;450310;475701
2305100;Guaramiranga ;CE;15769;19689;19952;22497;29972;25529;28683;32025;37854;43906;40677;44774;58574;50563;55089;61763;57834
2305209;Hidrolândia ;CE;32392;38074;37610;41025;53927;52617;66001;70978;80600;98399;96253;101944;114904;124095;135880;143185;143211
2305233;Horizonte ;CE;355097;396080;472936;589136;618227;717471;890906;1088360;1146485;1206916;1141813;1195454;1405696;1287176;1456369;1597151;1704636
2305266;Ibaretama ;CE;25209;26523;24491;34519;36980;34589;45892;41140;43905;63355;52687;57737;71207;75499;82170;95306;94426
2305308;Ibiapina ;CE;49171;60861;63943;67339;68779;78739;92830;101758;118604;133186;131469;172037;163510;162278;191686;233072;281871
2305332;Ibicuitinga ;CE;17167;19632;18707;27060;29738;27194;38001;38172;42790;54340;51857;60583;76100;83077;81251;92929;88293
2305357;Icapuí ;CE;55367;71692;70482;85791;104707;106542;123970;123815;152508;168308;193159;220357;248389;228665;245693;278155;337872
2305407;Icó ;CE;105873;128118;138367;159605;188364;200236;231249;251373;302016;339135;373109;416179;493236;562942;538447;559456;552394
2305506;Iguatu ;CE;313965;357782;396687;431185;470144;522663;619658;645869;884474;970552;1087847;1180314;1448551;1360229;1422458;1502169;1613278
2305605;Independência ;CE;50015;60571;64649;69641;86022;84987;113470;116389;127140;160383;141414;159655;188708;195207;209824;230528;234225
2305654;Ipaporanga ;CE;18056;22257;19788;22692;26598;25404;31144;32798;36633;51720;44816;50505;69382;63780;73841;78959;75061
2305704;Ipaumirim ;CE;20173;23655;22734;25343;31272;33200;41916;43523;50313;62347;58802;67346;79035;82031;91934;102851;113476
2305803;Ipu ;CE;69515;83647;88489;107038;113787;125728;147114;161478;190443;223815;220979;261073;287923;315015;335395;378323;391161
2305902;Ipueiras ;CE;56477;68429;72479;79511;92112;94627;118879;125492;145214;164891;166193;187840;201862;210201;219442;248518;245673
2306009;Iracema ;CE;23792;28284;31436;34692;38960;46520;55459;64059;70358;73691;80328;91526;116766;119625;125043;141423;138812
2306108;Irauçuba ;CE;31499;35240;37706;45226;52552;56925;71267;79654;84525;106489;110957;124748;142973;148674;160347;168328;159989
2306207;Itaiçaba ;CE;15327;17070;17789;20206;21408;23317;24486;26355;31075;34073;37920;43681;50873;57522;57201;69654;64206
2306256;Itaitinga ;CE;53324;61248;76352;85345;110058;129393;145620;161596;200020;242375;279556;352105;435972;575677;570233;663650;703610
2306306;Itapajé ;CE;165735;194339;220781;242224;249695;229416;326703;331716;594791;715132;383759;450431;521958;497620;526509;550017;557102
2306405;Itapipoca ;CE;292799;329977;395221;401532;478306;482996;560442;590292;704980;802759;928073;1002563;1197646;1191433;1329820;1560337;1648264
2306504;Itapiúna ;CE;24301;29854;28355;35651;42133;45996;57437;56409;65208;78965;73321;90332;104732;112505;123077;135105;131339
2306553;Itarema ;CE;75178;100311;113985;128930;170602;173295;190589;175762;208962;238990;248662;353145;379133;396508;433558;770373;737895
2306603;Itatira ;CE;27245;36135;42434;38372;53057;50649;71750;68793;75951;98480;66495;92720;107405;114214;112348;130468;122391
2306702;Jaguaretama ;CE;40864;47049;45501;52448;61805;60757;74787;80312;82526;101150;94279;107965;129820;136631;141990;149931;154739
2306801;Jaguaribara ;CE;60613;50314;54195;41901;48638;51679;65479;73557;75623;88371;101346;121204;140557;140831;123111;130346;128850
2306900;Jaguaribe ;CE;86449;95300;104122;114118;135179;148685;188728;209061;235624;280425;309005;347615;419278;485151;451543;511615;582187
2307007;Jaguaruana ;CE;84724;102867;126996;137652;154178;176462;206409;234624;230189;263215;261369;292202;354774;396821;364368;404008;396840
2307106;Jardim ;CE;40333;49140;50487;58767;72907;75527;93463;96525;107867;119976;123441;146767;178308;174486;177567;194304;205432
2307205;Jati ;CE;11616;14826;13718;16539;21053;20458;26971;29357;28975;38678;34018;41041;66419;75985;79408;90501;96279
2307254;Jijoca de Jericoacoara ;CE;22207;26760;32565;38866;46439;51895;62698;71878;96137;108570;124122;138753;185465;216640;268007;310187;347488
2307304;Juazeiro do Norte ;CE;639519;720985;812130;907642;1116498;1246312;1423758;1649601;2151335;2475504;2829796;3232446;3819082;3921616;4183987;4428414;4820056
2307403;Jucás ;CE;36890;42964;47075;47354;55609;62640;73313;92863;103169;121840;117542;140205;176396;172725;176488;187388;223555
2307502;Lavras da Mangabeira ;CE;53298;60854;57507;64756;80229;81262;90999;103512;111666;133456;136970;157668;190143;232094;219964;249151;257074
2307601;Limoeiro do Norte ;CE;192762;212958;243220;262062;321847;337324;400853;407333;505778;537356;575849;782694;809847;817926;924249;916986;946141
2307635;Madalena ;CE;36696;37698;34465;39664;52181;50159;68429;63573;74830;93310;86303;90255;113448;126213;127340;139510;128108
2307650;Maracanaú ;CE;1670133;1802231;2152460;2319339;2411696;2748986;3387386;3702590;4499790;5005885;5321236;6291122;7029386;7896114;8100726;8540212;10456282
2307700;Maranguape ;CE;270896;300638;394789;496794;562958;629053;726042;719003;820090;865979;913070;944514;1059587;1140316;1259097;1368102;1498306
2307809;Marco ;CE;44279;53631;60236;66278;72359;82849;100376;102219;149580;160880;196904;207680;248602;261287;272481;312089;322684
2307908;Martinópole ;CE;11922;13772;14865;16782;18765;19395;25202;28292;32796;37011;35652;49960;56520;62843;70372;77394;75696
2308005;Massapê ;CE;47220;58481;60925;66048;73514;82844;98982;107516;120691;137364;143290;165867;196023;207039;227628;255896;274485
2308104;Mauriti ;CE;79773;93763;95093;96297;139054;151529;183292;196029;187164;286138;249374;251363;316347;316619;336676;371102;404084
2308203;Meruoca ;CE;18012;22485;24373;25386;28971;31850;36338;38599;47779;56522;59196;66688;72441;79926;88144;96490;100428
2308302;Milagres ;CE;56264;69407;55186;61899;81820;80504;94739;109879;121563;142915;139412;160552;196253;192052;199219;222861;226465
2308351;Milhã ;CE;26604;27717;29276;38797;43363;47179;66263;55025;61613;81242;70552;75322;90979;90187;111637;126516;128104
2308377;Miraíma ;CE;15575;17321;19305;21722;24996;27206;36038;39668;46417;53170;58245;58155;67366;73043;77371;86790;85475
2308401;Missão Velha ;CE;53199;62613;62932;72439;118603;125491;152723;185975;165701;211897;197752;204972;297139;502539;330808;616402;484487
2308500;Mombaça ;CE;66385;75743;78381;91961;105127;117666;142879;141210;158758;182363;177151;205153;243906;258940;306144;318434;324686
2308609;Monsenhor Tabosa ;CE;26248;31771;34892;35271;41632;42531;55816;55798;62577;89662;75250;83661;100418;106164;121232;126566;127665
2308708;Morada Nova ;CE;157151;183978;190130;210908;238924;314478;319842;326062;409293;436830;479291;629723;639399;692613;753413;842433;957760
2308807;Moraújo ;CE;10533;13057;13973;18558;20284;19842;23132;25632;29869;33520;34867;40079;67799;73751;60819;62690;62053
2308906;Morrinhos ;CE;26616;31804;34097;37619;43702;46166;56318;66239;75629;84264;87787;93610;113073;125801;134692;147899;138555
2309003;Mucambo ;CE;20132;24048;26182;27974;32061;35502;42489;47257;51447;62872;61778;68813;77239;83003;93881;96768;96862
2309102;Mulungu ;CE;23779;27544;32748;35287;46710;46269;62283;61148;73185;84793;74671;70613;77877;87881;84996;125254;117058
2309201;Nova Olinda ;CE;25246;26198;32353;31981;39205;40527;49022;57532;68469;81430;81422;96906;121364;123904;117841;141025;128999
2309300;Nova Russas ;CE;53575;62740;65249;73981;80171;86304;110381;117994;140458;161893;175885;197935;235284;247084;261717;272470;267962
2309409;Novo Oriente ;CE;51044;51502;54378;59187;78688;72844;93368;84458;97049;152331;116712;136549;170447;174654;176828;212351;200432
2309458;Ocara ;CE;34534;38887;38539;44652;49621;53087;68327;71187;81931;96180;94733;104261;136287;140712;150231;172265;176813
2309508;Orós ;CE;45861;55148;58420;65603;74291;78395;92527;104665;115554;125710;139393;144142;171995;170348;191487;181332;171787
2309607;Pacajus ;CE;334523;357802;433957;414459;408507;417631;491943;547340;602770;697290;721410;778970;929253;940023;1001708;1064432;1142383
2309706;Pacatuba ;CE;176042;186984;212252;228553;378244;395011;480647;497231;591627;634292;693010;802513;972488;939811;949993;1035916;1165493
2309805;Pacoti ;CE;26040;32213;36943;40037;51003;50516;61833;67819;82054;91720;78109;91982;114451;99316;124959;165597;106768
2309904;Pacujá ;CE;9307;11232;11803;12398;14997;15952;18676;20766;25582;27994;30061;32712;37116;40051;43465;47602;47216
2310001;Palhano ;CE;14061;16473;18647;19192;21260;23861;28838;31820;38507;43001;42963;52839;63154;62302;63795;76962;77080
2310100;Palmácia ;CE;20615;25614;27634;27028;31838;32198;41461;47617;60122;69294;61559;58579;89085;82823;83520;100907;92730
2310209;Paracuru ;CE;112719;132938;144787;180193;181151;175191;225576;207755;252872;295041;342303;370570;425149;405883;415286;475887;488166
2310258;Paraipaba ;CE;52153;63254;75982;94081;116667;137906;132598;131385;182868;202168;224777;265461;329698;355526;411002;357111;390494
2310308;Parambu ;CE;58764;67850;57213;69323;77608;75954;109641;102433;118592;142908;130924;149030;175492;198473;206119;204761;210674
2310407;Paramoti ;CE;16241;19321;21689;23876;32028;31507;40676;40284;47722;62051;51688;72581;66194;74645;78644;95832;93287
2310506;Pedra Branca ;CE;75262;74169;76359;108474;96353;99565;143196;132345;158422;193924;173651;204011;234580;249474;266683;281948;290182
2310605;Penaforte ;CE;11606;14977;13728;16453;21668;22294;27875;31617;50236;55887;56729;65997;83520;85837;89183;107363;211774
2310704;Pentecoste ;CE;56854;61689;68674;80371;101278;105776;132868;160199;200100;250938;389496;350736;314391;335342;367405;405039;407785
2310803;Pereiro ;CE;26850;30470;32568;33117;41385;42750;53596;54511;61962;73672;72845;83447;99647;153921;212943;315992;308230
2310852;Pindoretama ;CE;32611;38384;44150;45492;55557;60719;61050;82770;95129;110678;120177;135303;168287;184212;208294;221102;243740
2310902;Piquet Carneiro ;CE;22431;24574;25713;28567;32856;35873;44764;48045;59641;68466;68499;80284;97901;105633;116483;122367;122205
2310951;Pires Ferreira ;CE;14835;17639;17802;22357;22873;23294;30519;31012;35918;42326;39600;42663;45775;44278;49087;57106;58083
2311009;Poranga ;CE;16018;18042;18788;22173;26031;26586;31763;33995;37661;43399;45736;54130;62989;66631;69879;77866;75282
2311108;Porteiras ;CE;26346;33173;30350;32911;44279;43505;54083;57360;62748;73545;72262;81974;96956;106836;124356;136554;148091
2311207;Potengi ;CE;15985;19751;20436;24215;27775;29247;37174;37894;43904;52991;55033;66036;87152;80740;75663;94830;87399
