cod_ibge;municipio;state;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
1101484;São Felipe D'Oeste ;RO;23124;30784;34179;37594;40951;44705;54757;55940;58727;61616;67923;70826;73856;78389;84807;87273;89556
1101492;São Francisco do Guaporé ;RO;49113;70765;86683;95814;100399;107923;135322;156875;173610;200906;223069;245948;266619;293297;318965;335648;352762
1101500;Seringueiras ;RO;39708;62860;68072;72914;75032;76674;91524;98812;117281;134333;141930;157939;166738;180367;200123;232724;234981
1101559;Teixeirópolis ;RO;20170;28647;30438;31487;32294;34054;41414;44347;50001;56623;63277;67681;72074;79344;82670;83325;89304
1101609;Theobroma ;RO;40171;56753;58647;67655;71517;72277;92540;93931;105535;104328;125796;128042;137147;153737;169717;185034;191965
1101708;Urupá ;RO;47558;67027;75804;82257;82955;83114;105172;111032;121359;129845;128811;150563;171461;183100;196242;200082;217176
1101757;Vale do Anari ;RO;24444;36890;45244;56445;55192;60872;79440;81947;91480;89772;105600;99751;106054;118306;133118;143303;159963
1101807;Vale do Paraíso ;RO;34692;55970;55792;60209;62414;67854;85349;80138;89263;92336;95927;108134;117706;124700;130588;142330;150141
1200013;Acrelândia ;AC;39622;49216;59175;64688;70531;77840;88512;94180;121915;142761;162199;214652;207822;212961;239610;229644;236379
1200054;Assis Brasil ;AC;12789;14615;17655;21730;23897;27928;33614;35412;42017;46581;52805;64602;73332;77234;85322;91743;91486
1200104;Brasiléia ;AC;72997;86058;84638;93666;98895;115290;135316;159564;190699;203479;238704;294874;340917;388114;388521;388018;417839
1200138;Bujari ;AC;26743;35776;37349;48281;49392;52408;58876;61525;86265;102702;107914;120210;129895;147868;159696;158301;157797
1200179;Capixaba ;AC;32492;39317;44898;49156;55225;63085;62790;73183;108531;116149;129649;158800;149067;160134;177480;170990;170403
1200203;Cruzeiro do Sul ;AC;262002;292422;324891;370047;400265;490308;598083;681822;771040;758483;838657;969784;1150664;1060536;1223340;1287867;1425685
1200252;Epitaciolândia ;AC;53797;63961;74137;82175;88121;106140;128588;134228;144997;159664;185761;268087;257492;276370;412261;435952;459388
1200302;Feijó ;AC;72819;85351;96864;113396;126198;127550;145960;172904;200521;205065;224521;267203;309503;322418;344518;350880;364112
1200328;Jordão ;AC;14549;16801;16035;19384;22421;29461;35573;38247;41234;45671;52136;58271;70473;72755;73737;78628;76929
1200336;Mâncio Lima ;AC;31111;37374;36445;42196;47814;56848;67172;80406;95419;104768;121766;150136;187729;179969;201077;194421;198112
1200344;Manoel Urbano ;AC;19936;23897;24246;25763;29299;33642;43863;50075;55803;59548;66179;80018;94643;118697;128845;135401;125008
1200351;Marechal Thaumaturgo ;AC;26714;31868;31589;36659;39493;58814;69574;84039;96005;94956;119709;146339;162375;159654;176112;195344;192830
1200385;Plácido de Castro ;AC;54088;62829;68906;83038;76160;90373;107307;119378;132633;152724;178793;199657;237006;252968;242578;241231;252906
1200393;Porto Walter ;AC;16533;19565;17920;19706;22804;33937;41812;47912;60318;60554;67807;82060;96499;97729;107298;112711;112156
1200401;Rio Branco ;AC;1840093;2047971;2377292;2696961;2936363;3406220;3988385;4681268;5125851;5516687;6270619;6807581;8174771;8258089;7880432;8153153;8940823
1200427;Rodrigues Alves ;AC;26749;31424;32610;39158;42592;55399;65175;80759;124221;114058;109581;152053;171505;166470;183719;185008;184545
1200435;Santa Rosa do Purus ;AC;9012;11411;12231;15598;17222;22651;28788;30990;35855;35164;37657;45136;53395;57988;62132;71271;71467
1200450;Senador Guiomard ;AC;72770;87695;95070;105492;119478;141266;152766;163787;184620;228063;256395;290838;325673;337471;325553;359782;373185
1200500;Sena Madureira ;AC;125410;145707;126488;140201;141962;163532;205498;225593;264528;282261;333671;426881;478781;462253;476246;500512;518416
1200609;Tarauacá ;AC;78553;89296;100169;118968;126866;149597;176203;193953;227963;264412;292548;335520;387146;398537;424497;470854;488825
1200708;Xapuri ;AC;42070;55372;57394;62366;66514;82251;86555;96912;117260;130867;147390;168708;196802;202844;220428;231302;239114
1200807;Porto Acre ;AC;40455;49309;47999;51953;60294;73632;89846;101684;114661;124816;143464;172519;203206;211744;220840;229926;233716
1300029;Alvarães ;AM;30812;31030;32142;34593;41015;45151;48675;49584;58365;81418;78121;90875;107773;102360;144685;159083;169816
1300060;Amaturá ;AM;12273;13675;15319;16976;20294;23399;27894;29500;36941;47891;51061;59861;63736;66484;66265;80805;83091
1300086;Anamã ;AM;17877;19131;20538;19460;23551;29780;48130;47993;51913;71971;67764;84387;86080;83655;96390;108163;116341
1300102;Anori ;AM;26340;26967;29177;29959;35862;40559;51885;56943;64424;180211;137499;153867;168967;154630;179711;192984;218253
1300144;Apuí ;AM;38007;42609;51888;57342;81706;73073;102637;91193;104518;129519;136498;157858;193061;206200;192352;193492;210012
1300201;Atalaia do Norte ;AM;20205;21595;21852;24407;28991;36784;43654;49616;68896;78879;84683;95743;124922;143243;165713;141205;142481
1300300;Autazes ;AM;76039;83112;93773;85256;96788;96630;99638;109369;154785;173295;177215;197961;239017;265111;289804;328193;357098
1300409;Barcelos ;AM;34279;42113;48313;54046;68272;65897;72054;74518;93663;113866;121659;134364;147980;151620;157854;160672;168178
1300508;Barreirinha ;AM;42638;44625;49308;55128;77540;74522;85630;97120;117983;136698;158179;196999;210559;200195;224109;239721;258823
1300607;Benjamin Constant ;AM;57998;61607;71803;71757;77148;88339;99144;110779;137141;170816;182718;236931;270635;245147;271447;280086;308682
1300631;Beruri ;AM;23694;26325;28561;30776;35478;40791;43560;54381;74008;88594;88502;107968;120988;125637;124199;141498;151535
