codigo_ibge;municipio;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
2205102;Itaueira ;7860;9365;8285;7251;6935;6888;6541;6875;6923;9385;11272;9195
2205151;Jacobina do Piauí ;2612;2617;2743;2793;2755;2691;2590;2910;3150;2717;2059;1672
2205201;Jaicós ;11453;11239;8697;10112;10563;8211;8280;7540;7600;8400;7350;7500
2205250;Jardim do Mulato ;1128;1115;1275;1335;1057;1002;701;681;685;705;734;830
2205276;Jatobá do Piauí ;2112;2112;2112;2152;2158;2282;2165;1659;1530;1406;1340;1537
2205300;Jerumenha ;745;580;535;700;404;145;363;307;335;306;325;358
2205359;João Costa ;1193;2276;1128;2251;1926;2175;1699;2246;2339;2240;2225;410
2205409;Joaquim Pires ;3093;2823;2840;2721;2081;2031;1940;1939;1875;2750;2425;1795
2205458;Joca Marques ;1225;1252;1175;898;611;698;582;623;672;621;660;634
2205508;José de Freitas ;8031;8249;8331;7680;7013;6627;6735;6541;6617;6642;6856;7032
2205516;Juazeiro do Piauí ;1235;1185;1234;1237;1238;1370;1155;1232;1147;1070;974;1514
2205524;Júlio Borges ;1133;1270;1220;1290;1375;1595;1208;1360;1410;1640;1330;1345
2205532;Jurema ;4959;5137;5099;5094;5073;5031;4008;2965;4575;3980;3720;2816
2205540;Lagoinha do Piauí ;1400;1544;1675;1680;1570;1449;930;824;730;650;650;380
2205557;Lagoa Alegre ;1627;1627;1627;1537;1396;1435;1309;1253;1233;1248;1040;890
2205565;Lagoa do Barro do Piauí ;2368;2958;1521;2831;1730;1781;2767;2767;2767;2767;2320;1489
2205573;Lagoa de São Francisco ;1597;1598;1593;1571;1493;1467;1471;1468;1464;1894;2387;1280
2205581;Lagoa do Piauí ;957;933;961;987;832;891;884;891;802;762;765;735
2205599;Lagoa do Sítio ;6674;7232;7247;6976;2965;3564;6462;4695;6498;6798;5134;3815
2205607;Landri Sales ;6217;7901;11569;12045;10156;8131;11329;8866;9250;7075;9179;9203
2205706;Luís Correia ;8552;8295;7805;7855;7561;7555;7632;7902;7695;8600;9592;10219
2205805;Luzilândia ;5652;6226;5870;5107;3700;4005;3902;3713;4035;4228;2994;1906
2205854;Madeiro ;1389;1389;1102;921;645;573;577;575;585;601;609;822
2205904;Manoel Emídio ;8480;7569;7328;7469;6052;4606;1063;1026;930;912;912;956
2205953;Marcolândia ;2812;3018;1729;1316;2632;1380;1245;3185;2310;4610;1712;3603
2206001;Marcos Parente ;1184;1006;1019;1052;1095;669;388;238;304;360;375;386
2206050;Massapê do Piauí ;3620;2051;2530;2515;2595;2305;3325;2194;2216;2156;2125;1610
2206100;Matias Olímpio ;1459;1471;1506;1366;903;1185;1149;1046;1114;1218;1215;1044
2206209;Miguel Alves ;7958;7248;8088;7550;8045;6562;6594;6764;7094;8676;8437;6943
2206308;Miguel Leão ;1280;1355;1344;1264;1272;1612;2006;1074;1234;1135;1159;313
2206357;Milton Brandão ;2212;2213;2010;1970;2122;2095;2095;2095;2085;2392;2680;1849
2206407;Monsenhor Gil ;4066;4072;4232;4309;3109;3196;3166;3550;3183;2963;3063;1142
2206506;Monsenhor Hipólito ;4995;6229;4162;5040;3537;3519;2972;3000;2872;2950;3310;3070
2206605;Monte Alegre do Piauí ;12542;11763;15537;17214;20421;27119;26562;26273;23936;27865;28487;25450
2206654;Morro Cabeça no Tempo ;980;990;1040;1019;920;1775;2112;1690;1810;2020;2030;1678
2206670;Morro do Chapéu do Piauí ;1922;1922;1875;1540;1490;1385;1514;1748;1872;2083;1278;1003
2206696;Murici dos Portelas ;2968;2900;3225;3645;3900;3934;3892;3921;4168;4205;4386;1444
2206704;Nazaré do Piauí ;1782;1544;1624;1514;1068;613;490;190;476;432;449;429
2206720;Nazária ;0;1687;1705;1834;1566;1621;1933;1688;1736;1640;1741;482
2206753;Nossa Senhora de Nazaré ;638;638;640;655;660;655;642;544;549;642;638;719
2206803;Nossa Senhora dos Remédios ;1754;1789;1775;1656;1592;1489;1415;1425;1405;1407;1136;1036
2206902;Novo Oriente do Piauí ;2306;2979;2990;2990;1902;2697;1819;1009;1832;1511;1496;1304
2206951;Novo Santo Antônio ;1860;1860;1860;1860;1860;1678;1926;1621;1621;1363;1285;750
2207009;Oeiras ;4275;6594;5055;6660;3314;7080;6574;5300;6749;6756;6994;5799
2207108;Olho D'Água do Piauí ;1896;2065;1983;1877;1686;1557;1565;1021;771;1020;940;944
2207207;Padre Marcos ;3700;3953;3885;3850;2757;2600;1954;2860;3042;3627;4130;3783
2207306;Paes Landim ;1047;2086;1504;1924;1647;1919;1943;1210;1939;1943;1933;1161
2207355;Pajeú do Piauí ;2018;2648;2098;2020;1919;1873;1868;1828;1833;2738;1762;1483
2207405;Palmeira do Piauí ;10499;12055;13373;17115;18996;21523;21932;21742;16798;19584;13133;29904
2207504;Palmeirais ;6287;6317;5647;6561;6451;6172;6066;5691;6224;5931;5946;5934
2207553;Paquetá ;2440;2372;2390;2175;2270;1888;1810;1899;1935;3555;4070;2464
2207603;Parnaguá ;2956;3128;3683;3522;3783;3390;2988;2836;3204;3130;3760;1669
2207702;Parnaíba ;1452;1290;978;879;715;684;809;850;839;839;855;856
2207751;Passagem Franca do Piauí ;1771;1761;1758;1723;1251;1607;1770;1254;1149;814;637;664
2207777;Patos do Piauí ;2178;2561;1738;1796;1694;1873;1845;1993;2358;2098;2749;2704
2207793;Pau D'Arco do Piauí ;1181;1097;1202;1175;1087;1044;1030;1138;1138;1083;1118;526
2207801;Paulistana ;2506;4371;3651;4580;5005;4998;5380;5832;5142;5070;3625;4022
2207850;Pavussu ;1995;2395;1905;2150;2075;2135;1785;1605;1600;1556;1730;1675
2207900;Pedro II ;3896;3897;3908;3984;4006;3949;4029;4006;3987;3998;3998;3874
2207934;Pedro Laurentino ;735;1017;588;1070;1083;1050;1085;1113;1150;1230;1230;752
2207959;Nova Santa Rita ;1134;2793;1221;2768;2758;2739;2541;2309;2887;2805;2913;1902
2208007;Picos ;5641;6745;6681;6551;5236;6475;6673;6930;4591;4830;4868;4712
2208106;Pimenteiras ;6312;6097;6248;5729;3072;5597;5488;5541;4373;2504;2928;4458
2208205;Pio IX ;14530;14866;15014;13300;13920;11802;11422;13250;14035;16400;19045;17030
2208304;Piracuruca ;3802;3484;3476;3418;2870;2917;4067;4370;3473;4263;4175;3377
2208403;Piripiri ;7480;7322;7340;5477;4299;4315;4494;4161;4047;4769;4807;3167
2208502;Porto ;1291;1278;1130;1043;436;592;627;669;614;614;607;612
2208551;Porto Alegre do Piauí ;2889;3070;3280;3550;2720;2991;2807;581;377;308;317;345
2208601;Prata do Piauí ;463;513;510;514;498;497;348;385;333;210;180;145
2208650;Queimada Nova ;3782;3784;2644;3768;3869;3792;2162;4015;4050;4230;3614;2255
2208700;Redenção do Gurguéia ;1362;2400;2827;2888;2775;3335;3788;4567;2702;3056;2735;2140
2208809;Regeneração ;4610;4862;5045;5748;6980;7122;5667;7683;8763;9864;11698;12552
2208858;Riacho Frio ;685;755;830;830;830;826;795;802;638;663;667;647
2208874;Ribeira do Piauí ;997;1657;713;1685;1356;1628;1027;1123;1225;1628;1956;561
2208908;Ribeiro Gonçalves ;49461;39987;42711;57507;73523;75473;92078;96719;95378;108610;105701;102693
2209005;Rio Grande do Piauí ;2773;3763;3663;3328;3473;3441;3344;3269;2646;2688;2407;1225
2209104;Santa Cruz do Piauí ;3311;3487;2724;3641;2410;3629;2706;2769;2624;3462;3093;1120
2209153;Santa Cruz dos Milagres ;870;888;870;1024;969;953;1002;1004;940;744;671;669
2209203;Santa Filomena ;28399;28381;31541;34986;39195;51610;60797;67056;69385;70382;72252;78380
2209302;Santa Luz ;3033;3030;2980;2977;2364;2848;2351;2412;2405;1345;1747;1564
2209351;Santana do Piauí ;2703;2952;1632;2987;3164;2453;2213;2756;2750;2750;2850;2600
2209377;Santa Rosa do Piauí ;2346;2638;1604;1988;1992;2021;1870;1726;1884;2111;1889;1476
2209401;Santo Antônio de Lisboa ;4143;2757;3036;2649;4294;4111;4267;4679;5136;6574;3984;2574
2209450;Santo Antônio dos Milagres ;238;248;270;299;297;272;292;256;250;203;215;252
2209500;Santo Inácio do Piauí ;1199;1634;1555;1570;1631;1563;1568;1603;1657;1655;1685;554
2209559;São Braz do Piauí ;3008;3281;3183;3165;3164;3029;2384;2081;2693;2534;2534;2551
2209609;São Félix do Piauí ;1303;1302;1292;1365;1354;1413;1136;1486;1460;1020;940;794
2209658;São Francisco de Assis do Piauí ;1679;1944;1194;1907;1745;683;1937;1984;2008;1987;2016;1585
2209708;São Francisco do Piauí ;2387;2791;2696;2998;2231;3135;2795;2296;2456;2741;2690;1288
2209757;São Gonçalo do Gurguéia ;623;616;626;782;853;1809;2201;2721;3348;1432;2160;1598
2209807;São Gonçalo do Piauí ;1447;1457;1373;1533;1419;1239;1465;1391;1795;1963;2456;2983
2209856;São João da Canabrava ;2696;2795;2786;2606;2517;2316;1696;2386;2849;2877;3416;3838
2209872;São João da Fronteira ;2117;2316;2080;2064;1553;2064;2076;2080;2065;2075;2082;536
2209906;São João da Serra ;2178;2178;2252;2252;2252;1767;1872;1742;1863;1770;1768;964
2209955;São João da Varjota ;2609;2787;2059;2844;2274;2954;2911;2337;2771;2919;2847;1048
2209971;São João do Arraial ;1070;1073;1051;997;925;568;563;623;623;641;679;682
2210003;São João do Piauí ;2077;2813;1472;2798;1387;2782;2776;2764;2789;2897;2292;1256
2210052;São José do Divino ;1862;1864;1110;1834;1656;1857;1907;1818;1512;1842;1842;840
2210102;São José do Peixe ;1360;1330;1245;1255;1149;1351;1186;1219;1190;1050;1159;1165
2210201;São José do Piauí ;5812;5867;5936;5665;6282;5744;5437;6027;5924;5252;5827;4922
2210300;São Julião ;3428;4185;4393;3897;3812;3627;3619;3560;3440;1926;2010;1725
2210359;São Lourenço do Piauí ;1326;1318;1332;1317;1317;1208;976;1235;1425;1260;1260;965
2210375;São Luis do Piauí ;1455;1628;1640;1620;1328;1380;1438;1492;1575;1725;1703;2089
2210383;São Miguel da Baixa Grande ;670;659;670;665;660;678;682;735;754;662;709;787
2210391;São Miguel do Fidalgo ;1241;1160;1088;1075;895;1050;822;978;807;835;896;956
2210409;São Miguel do Tapuio ;13252;9387;8768;9522;9774;9312;7432;6694;6825;6942;6907;4257
2210508;São Pedro do Piauí ;3175;3175;2957;2984;2773;2328;2619;2115;1759;1683;1623;2940
2210607;São Raimundo Nonato ;6327;7075;6968;7151;7043;6609;6132;3385;6777;3904;5075;2779
2210623;Sebastião Barros ;1112;1100;1160;1262;1240;1385;1251;1198;1279;1410;1733;1840
2210631;Sebastião Leal ;13231;12791;17228;16086;18839;21411;26298;28112;24871;31057;43485;35557
2210656;Sigefredo Pacheco ;4801;4801;4801;4991;4890;4890;2902;3718;3310;3290;3310;2682
2210706;Simões ;6421;9802;6727;7020;7258;6775;6059;7747;5160;5665;7725;7325
2210805;Simplício Mendes ;1231;2849;1984;3005;2068;3316;3509;3491;3796;3746;3730;1770
2210904;Socorro do Piauí ;1027;1486;1239;1774;1717;1728;1759;1495;1772;1730;1730;1476
2210938;Sussuapara ;1161;1298;1235;1311;1173;1091;1041;1053;1007;244;295;302
2210953;Tamboril do Piauí ;2135;2286;2560;2443;1820;2239;1811;1812;1627;1575;1816;1613
2210979;Tanque do Piauí ;1158;1343;940;1456;1472;1493;1472;1439;1672;2089;2561;2048
2211001;Teresina ;8587;6496;6385;7029;6076;5888;6259;6003;5745;5590;5594;5792
2211100;União ;7304;7975;8364;10073;10381;10248;10251;10163;10490;10908;10477;11517
2211209;Uruçuí ;91354;98597;114453;125398;145472;164957;176111;199063;175919;206392;218012;244376
2211308;Valença do Piauí ;2500;2299;2611;2279;1420;1552;1816;1667;2241;2096;1804;1457
2211357;Várzea Branca ;2582;2632;2576;2574;2533;2476;2149;2184;2522;2188;2183;1959
2211407;Várzea Grande ;1030;1040;1055;1013;960;1065;900;922;923;894;960;808
2211506;Vera Mendes ;2260;2847;2875;2665;2755;2797;2755;2900;3044;1606;1600;1600
2211605;Vila Nova do Piauí ;4200;4100;3315;5000;5345;5600;4886;5390;5710;5740;4506;5330
2211704;Wall Ferraz ;3065;4210;2960;4147;3157;4183;1976;1144;3608;4023;4036;1547
2300101;Abaiara ;3154;3470;2916;3212;2870;1947;1883;997;688;2559;3000;2685
2300150;Acarape ;2713;2217;2228;2139;1079;936;1040;865;830;815;885;917
2300200;Acaraú ;9681;9730;9342;10334;9454;5543;7156;7263;7287;8281;9090;8458
2300309;Acopiara ;19289;21503;18001;21484;21842;18355;21003;21965;20999;17466;15112;15261
2300408;Aiuaba ;14420;14894;14563;16454;14798;8686;13834;12188;12183;11109;9461;9200
2300507;Alcântaras ;3322;3342;4291;4210;3245;1553;980;1385;1593;1449;1847;1883
2300606;Altaneira ;2147;2160;2465;1657;1719;1765;1547;1010;1609;1257;977;829
2300705;Alto Santo ;3308;4105;1666;2384;864;952;1131;1190;1764;1540;1449;2784
2300754;Amontada ;20349;20870;16278;20669;19897;14268;12918;14510;12957;11502;12059;11498
2300804;Antonina do Norte ;3082;2623;1645;1672;1453;1014;1292;672;1316;1462;1053;1015
2300903;Apuiarés ;1652;1756;2154;2105;1196;916;1772;2515;1822;3186;3937;4048
2301000;Aquiraz ;2532;2596;1737;1981;1845;1500;1944;1659;1485;1495;627;814
2301109;Aracati ;7409;6675;3678;7155;5362;3805;3710;4232;2697;3432;3942;4033
2301208;Aracoiaba ;5633;8074;5008;8876;5472;5130;5523;3282;3504;5996;6384;6439
2301257;Ararendá ;3823;3856;2023;3854;3175;1835;1765;2148;2082;2270;2515;2169
2301307;Araripe ;11217;12579;9711;10474;6977;6546;8168;7834;7497;7912;8807;8281
2301406;Aratuba ;2644;2726;2281;3431;3443;2082;2505;2727;2732;2914;3519;3414
2301505;Arneiroz ;5662;6085;4976;6581;4828;1260;2765;3464;3396;3835;4207;3410
2301604;Assaré ;11629;10743;10264;12026;10425;8524;8698;7410;4221;11458;7954;7723
2301703;Aurora ;13320;13117;7247;15243;9009;5101;3550;833;3059;3767;4578;1487
2301802;Baixio ;2091;1554;851;1164;1340;884;836;758;771;765;706;970
2301851;Banabuiú ;3851;4084;1703;3714;1523;678;1030;1910;1945;3531;2740;2490
2301901;Barbalha ;3219;3467;3905;2066;1605;1173;1617;1249;996;1166;1456;1509
2301950;Barreira ;2614;2622;2862;2694;2743;1854;1882;1820;1907;1885;1947;1879
2302008;Barro ;10984;11301;2712;4402;4310;1305;1571;1825;2058;3331;3341;3131
2302057;Barroquinha ;5063;5149;4094;4115;4482;2223;2523;2793;1716;1613;1693;1473
2302107;Baturité ;5361;6691;5445;7159;6397;3784;4692;4805;4385;4397;6370;5964
2302206;Beberibe ;11287;11562;6712;9447;7955;7126;6260;5814;4018;4944;4969;5181
2302305;Bela Cruz ;9220;9938;10412;10960;13056;9131;9831;10090;9914;9350;9393;9842
2302404;Boa Viagem ;37176;38557;43096;41739;29059;12436;19000;24279;16491;18473;24767;17364
2302503;Brejo Santo ;13004;13442;10996;16263;12004;6063;3851;3481;5655;7855;9886;3267
2302602;Camocim ;6630;6771;6779;6940;6997;7149;8362;10258;9006;9608;10338;10407
2302701;Campos Sales ;8959;10033;8892;8827;6487;8827;8246;5732;5475;6473;7496;6334
2302800;Canindé ;54832;53365;43384;39025;27707;13810;20646;19276;13930;20819;15304;20752
2302909;Capistrano ;8851;6965;6066;9915;4913;4205;6411;5044;4904;4994;5019;4990
2303006;Caridade ;8385;8720;7935;10843;9909;2713;4207;9745;7149;12017;13058;13486
2303105;Cariré ;12973;13064;9344;7787;7575;5962;5086;6325;6935;7123;7331;7138
2303204;Caririaçu ;8555;8681;8236;8328;4256;2572;2499;2710;2706;3735;3483;3515
2303303;Cariús ;5255;5521;4167;5204;5090;2477;4673;4377;3752;4064;5311;1991
2303402;Carnaubal ;4911;5508;2907;6286;3293;2893;2064;1405;1872;1451;2255;2160
2303501;Cascavel ;5442;4680;2260;5737;4170;3575;3285;2572;2617;2362;3142;2667
2303600;Catarina ;5715;5954;4355;5630;5553;5303;5138;5077;3823;3469;3147;2280
2303659;Catunda ;9960;9825;9793;11467;9846;4408;9790;11338;10373;15376;13141;15213
2303709;Caucaia ;7140;7963;7753;8114;7119;4553;5889;2350;4697;4518;4164;4656
2303808;Cedro ;6394;6622;5021;6054;4942;1176;5464;2155;1430;1711;2866;2479
2303907;Chaval ;2795;2841;1897;1948;2025;1815;1735;1323;1100;1242;740;643
2303931;Choró ;3790;3859;2162;4189;2108;928;1417;2515;1888;3413;3535;3640
2303956;Chorozinho ;2695;2890;2321;3818;1615;1755;3791;3673;3636;2376;2939;2928
2304004;Coreaú ;2478;2230;2549;2526;2303;2295;2217;2496;2907;2934;3219;3211
2304103;Crateús ;28091;28197;18073;34844;21226;11501;31114;29620;29370;29458;31445;28746
2304202;Crato ;7405;7535;5537;7298;7369;7447;7567;5729;5635;6689;3392;3686
2304236;Croatá ;10652;11659;7506;9630;3513;3629;4407;2848;2762;3584;4258;4759
2304251;Cruz ;7138;8270;7343;6705;6550;3437;4974;5259;5328;6734;7682;6302
2304269;Deputado Irapuan Pinheiro ;9365;11074;4244;11212;6396;5805;8982;8885;4942;7037;7112;6360
2304277;Ererê ;1851;1840;740;1900;1140;760;930;1151;1451;1442;1371;1610
2304285;Eusébio ;308;337;202;312;379;173;152;77;50;61;57;52
2304301;Farias Brito ;5145;5484;3931;5255;5150;5224;7105;4686;5461;6934;6709;6405
2304350;Forquilha ;4983;5091;5223;5067;4381;1899;2418;2814;4010;5011;4212;4414
2304400;Fortaleza ;117;80;81;87;84;42;25;25;0;0;0;0
2304459;Fortim ;3527;2675;2087;3165;1985;1721;1202;1600;1620;1070;1081;1190
2304509;Frecheirinha ;3817;4023;4511;3889;3556;3648;2240;2469;2265;2364;2454;2272
2304608;General Sampaio ;2540;2611;3033;3457;1930;1560;1616;1592;1637;1682;1843;1805
2304657;Graça ;5335;5634;5242;5537;5604;4824;6292;6480;4454;4590;4354;3941
2304707;Granja ;15501;16726;16139;16399;19830;18367;16341;17211;18696;18183;11972;12138
2304806;Granjeiro ;2423;2464;1670;1808;1661;1050;1134;1061;579;983;1197;1132
2304905;Groaíras ;3627;3640;2448;2557;2221;206;2016;1921;1934;2261;2015;1504
2304954;Guaiúba ;3682;2336;2461;2714;2141;1215;2098;1400;1923;1196;1478;812
2305001;Guaraciaba do Norte ;15297;15506;12683;14569;8612;7040;7872;5700;6020;7679;7688;9196
2305100;Guaramiranga ;347;450;581;476;282;356;367;252;252;246;285;259
2305209;Hidrolândia ;14627;15143;15130;15237;14084;7678;14140;13782;13687;14756;14316;5985
2305233;Horizonte ;2819;3008;1323;2448;2366;1187;1288;1528;1653;1473;1130;989
2305266;Ibaretama ;6328;7016;3394;6400;3694;1650;2626;3925;2689;5110;4410;3710
2305308;Ibiapina ;8821;8908;9028;9397;9088;8400;2849;3357;3592;4615;4951;5099
2305332;Ibicuitinga ;5648;7388;3879;6407;1453;3649;5580;5580;3400;6300;5270;5670
2305357;Icapuí ;3599;3715;3872;4124;4990;4419;3970;2455;1582;1746;1482;1374
2305407;Icó ;19769;17984;18850;15574;15192;9388;13665;13615;10912;11668;11495;10868
2305506;Iguatu ;11685;10952;10536;11411;10594;4866;10162;7588;6883;7661;7765;7373
2305605;Independência ;18495;23370;6645;18854;10879;3780;14380;12095;11108;14717;14035;11648
2305654;Ipaporanga ;5131;5328;3723;8498;5210;2321;7977;7883;7778;7963;8177;7270
2305704;Ipaumirim ;3714;3559;1830;2850;2896;2091;2243;1793;1331;1901;2986;2313
2305803;Ipu ;13242;13217;12510;13985;13573;11626;9828;8288;8140;8671;10425;7477
2305902;Ipueiras ;9005;9436;8277;10271;7000;5274;4428;4614;5027;5022;5829;5275
2306009;Iracema ;1833;3116;875;1959;791;694;1409;1603;1663;1731;1604;1117
2306108;Irauçuba ;10102;11455;10496;11057;9137;7283;6958;5252;10042;11031;4402;6003
2306207;Itaiçaba ;965;865;453;892;529;272;748;660;500;540;862;610
2306256;Itaitinga ;902;1008;301;629;667;434;571;584;502;519;551;667
2306306;Itapajé ;5812;6243;5896;6602;5402;4525;4511;4123;4142;4423;4968;4343
2306405;Itapipoca ;27370;27944;19081;27756;26475;21513;21764;22714;20936;21529;23765;18791
2306504;Itapiúna ;9702;9682;5020;9676;4398;3028;6684;4935;5307;5415;5244;5379
2306553;Itarema ;9202;9331;8148;8201;8304;4816;7106;7805;7552;8034;9682;8588
2306603;Itatira ;18505;18910;14877;16044;9750;8388;8166;6859;7610;14642;15089;8498
2306702;Jaguaretama ;8610;8867;3231;8608;3201;3284;2873;3249;4111;2024;3535;3433
2306801;Jaguaribara ;2136;2011;698;1978;739;472;656;506;836;708;587;630
2306900;Jaguaribe ;5828;5932;2421;5825;2337;1487;2387;2960;2805;2666;3108;3162
2307007;Jaguaruana ;7802;7392;4827;10198;6719;4235;4913;5190;2948;3670;3198;2604
2307106;Jardim ;6650;6803;5513;6474;6963;3223;4751;4266;3041;2689;4596;2351
2307205;Jati ;4616;4806;2925;3628;3067;1293;2146;347;1040;1824;2311;1111
2307254;Jijoca de Jericoacoara ;3010;3354;2748;3158;2912;1591;2265;1190;1325;1642;1862;1898
2307304;Juazeiro do Norte ;2338;2263;2464;2616;1649;1326;1321;1279;1189;1368;1306;1328
2307403;Jucás ;5981;6154;5251;5994;5988;2335;5876;4688;3611;3422;3959;2948
2307502;Lavras da Mangabeira ;8794;8877;5452;5578;5717;1769;2610;3414;3265;3922;4279;3462
2307601;Limoeiro do Norte ;5417;7125;6630;6136;5553;5208;6346;7334;5235;6019;11262;6309
2307635;Madalena ;11286;11410;13431;12668;9417;4295;6788;15884;7085;9626;9527;11107
2307650;Maracanaú ;744;690;738;312;314;281;285;316;315;334;325;421
2307700;Maranguape ;5767;5764;6087;6891;4851;4375;3784;4036;2909;3887;4191;2744
2307809;Marco ;4865;5898;6383;6528;7381;5491;5016;4769;4610;5237;4677;3449
2307908;Martinópole ;1362;1417;2333;2950;4080;3713;3359;3180;3014;2743;2956;3007
2308005;Massapê ;7148;7364;4711;5093;4715;2920;3330;3241;2662;3038;3170;3088
2308104;Mauriti ;37671;38833;26504;30466;21764;7642;5254;9574;11565;19161;19953;12770
2308203;Meruoca ;1953;1978;2478;2414;2071;1534;615;450;523;735;756;768
2308302;Milagres ;9890;10130;8037;9399;6403;3706;3578;3165;2920;4211;4548;3207
2308351;Milhã ;11927;11280;7912;9701;2713;4982;5045;6444;6358;6472;9045;8477
2308377;Miraíma ;3845;3879;2526;2864;2917;1933;1400;1339;1506;1622;1725;1705
2308401;Missão Velha ;11286;11369;9311;10626;8310;6001;7139;7163;7157;6845;5545;4025
2308500;Mombaça ;16092;16365;14545;17147;14609;10437;13784;12596;13070;14123;14870;17484
2308609;Monsenhor Tabosa ;10280;5938;5467;13040;7905;5995;10919;10675;10010;8985;8700;7189
2308708;Morada Nova ;17259;21341;13496;21798;9213;17731;15807;13663;11300;11800;11018;10685
2308807;Moraújo ;1163;1168;1214;1224;1175;898;1069;1096;836;1237;1386;1518
2308906;Morrinhos ;3995;5330;5352;5610;6808;4878;3792;3860;4270;4000;3333;3475
2309003;Mucambo ;5696;5734;5695;5723;5936;5139;2925;2948;4711;4518;4545;3537
2309102;Mulungu ;1879;2135;1640;2459;2032;1569;1994;2018;2025;2026;2523;2349
2309201;Nova Olinda ;4283;4322;7312;6749;3812;4045;2856;2934;1976;3616;2267;2805
2309300;Nova Russas ;5023;4894;2320;4530;3992;2243;2047;2024;1927;2518;1916;1784
2309409;Novo Oriente ;16342;17020;13106;30522;22432;11147;19032;18565;18813;19835;19202;17908
2309458;Ocara ;7966;8779;5472;9344;5680;5041;7834;4750;4879;9427;9323;10033
2309508;Orós ;4844;5490;4513;3498;3476;2590;3064;2452;2477;2256;2526;2516
2309607;Pacajus ;5217;5867;4267;4233;6084;1811;2008;2409;1823;1995;2422;2506
2309706;Pacatuba ;654;521;658;790;1165;1166;295;282;1000;781;284;569
2309805;Pacoti ;1446;1771;2616;2046;1354;1146;1484;1365;1026;1145;1049;921
2309904;Pacujá ;2799;2887;2775;2336;2324;2073;1038;1978;1910;1928;1020;921
2310001;Palhano ;3400;6550;5201;4470;5230;5065;6244;3130;5020;2741;5620;5170
2310100;Palmácia ;1735;1856;2470;2144;1692;967;1652;1037;760;1309;1731;1017
2310209;Paracuru ;8687;11040;8289;7946;8083;3056;2733;2309;1635;2782;1473;1502
2310258;Paraipaba ;11024;12736;11385;15820;15167;9515;14744;13291;11198;10474;9370;7023
2310308;Parambu ;30545;31295;25905;29157;28045;16355;17581;20242;20912;21323;21143;19392
2310407;Paramoti ;7806;9702;9694;11692;8666;2378;3218;6103;5227;10045;10855;15222
2310506;Pedra Branca ;31120;29008;17008;28479;14827;8903;10606;13106;10715;13088;14344;13502
2310605;Penaforte ;3006;3099;3651;3853;1878;527;689;717;971;1944;1986;1284
2310704;Pentecoste ;3215;3048;3551;5561;3203;1847;6040;6033;4407;9044;9214;4671
2310803;Pereiro ;5548;5591;3831;5627;4072;2748;3601;3648;3689;4615;5289;5243
2310852;Pindoretama ;2320;2707;2385;3115;3565;2494;2064;1314;1413;1603;1336;1423
2310902;Piquet Carneiro ;5301;5344;4071;5316;5186;4888;4995;4992;6565;5627;6113;5433
2310951;Pires Ferreira ;6769;6444;6780;6839;7395;6609;6345;2482;3105;3144;4655;4843
2311009;Poranga ;2969;3010;1523;3056;2861;1633;1371;1423;1393;1573;2505;1854
2311108;Porteiras ;6866;6972;3745;3977;3290;2733;1882;2339;3266;2073;4255;3164
2311207;Potengi ;5219;4684;4411;3909;2028;1929;4182;3016;4138;6302;3856;3339
2311231;Potiretama ;3220;4590;1657;3047;1278;1162;1440;3105;2975;3350;3377;3335
2311264;Quiterianópolis ;12793;13192;11749;14412;10275;6860;7456;8162;9575;10106;10089;9333
2311306;Quixadá ;13503;14364;7274;13756;6872;3306;5082;4010;5912;6585;8046;8240
2311355;Quixelô ;5903;5542;4232;5623;4465;1975;4484;3173;3246;3559;3255;2862
2311405;Quixeramobim ;15114;17755;7498;22110;2267;7824;7448;16432;11493;17532;18579;16702
2311504;Quixeré ;4272;4156;2105;3924;2888;2799;1790;2458;1400;2677;2280;3411
2311603;Redenção ;4036;4245;3655;4948;4070;3640;3810;3350;3270;3130;2807;2770
2311702;Reriutaba ;7764;8109;8475;8565;11827;7588;6649;5952;6613;6809;6952;4922
2311801;Russas ;6292;6104;4401;6005;5515;3040;3961;2547;3096;4181;4716;4662
2311900;Saboeiro ;5656;5927;4568;5867;5778;1659;4125;2831;3992;3726;4128;3130
2311959;Salitre ;18511;18372;15403;13655;11105;11722;11290;8092;7935;12883;12568;10953
2312007;Santana do Acaraú ;5861;5957;7005;7468;7104;5418;6851;8320;7820;8126;8104;8305
2312106;Santana do Cariri ;5072;6047;10816;7801;6099;5941;4645;3490;2894;3218;2201;2060
2312205;Santa Quitéria ;29108;28697;26861;30758;18057;4030;18370;31579;26345;35518;23421;36197
2312304;São Benedito ;11082;11615;10497;11957;10390;10713;6374;6024;5365;5843;6906;7893
2312403;São Gonçalo do Amarante ;9568;11016;8616;7989;7876;4833;5707;5507;2074;2976;3810;2435
2312502;São João do Jaguaribe ;972;1293;696;1135;436;567;701;754;619;854;636;825
2312601;São Luís do Curu ;3068;1896;1532;1887;2668;1964;2120;1429;1814;2119;822;1262
2312700;Senador Pompeu ;18231;15573;10532;16064;5096;8489;14230;13840;10003;15044;14586;13559
2312809;Senador Sá ;4496;4791;3134;4923;3019;2184;1002;1111;1068;1009;1226;1294
2312908;Sobral ;17293;17250;18627;20102;16637;8588;8157;7624;7625;7395;8224;8335
