codigo_ibge;municipio;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
1200385;Plácido de Castro ;3539;3550;4875;6329;8336;4803;3852;3359;2362;2213;2113;2444
1200393;Porto Walter ;1963;1906;2043;2788;2881;2250;2125;2102;2315;1767;1272;1267
1200401;Rio Branco ;9427;4396;4210;5268;5174;6457;7164;6876;5319;5394;4720;5304
1200427;Rodrigues Alves ;3785;5227;10541;14009;15825;7178;6050;5957;6267;4437;3352;3341
1200435;Santa Rosa do Purus ;605;538;714;470;641;641;584;612;677;748;725;703
1200450;Senador Guiomard ;4028;3098;3788;3686;5293;6029;6308;5440;5199;4763;3989;3368
1200500;Sena Madureira ;9719;9920;12744;12313;11019;13133;13783;10420;7470;6975;5584;5034
1200609;Tarauacá ;8625;6110;7923;6911;7515;7075;5956;6191;7781;7425;6412;6205
1200708;Xapuri ;2920;3055;3609;4392;4435;4032;4232;4111;3392;3346;3298;3188
1200807;Porto Acre ;3654;3719;4722;3338;5890;6160;6476;5695;4963;4925;3777;3351
1300029;Alvarães ;1375;1186;359;875;879;755;648;442;5268;5494;5253;5310
1300060;Amaturá ;727;737;212;268;239;337;40;304;390;514;267;277
1300086;Anamã ;1385;1406;572;752;862;399;553;620;418;330;420;410
1300102;Anori ;1275;1296;775;695;776;713;679;700;213;480;490;495
1300144;Apuí ;7542;7343;3598;4455;4434;3297;2229;1829;684;709;1219;1263
1300201;Atalaia do Norte ;731;738;415;467;560;530;680;967;380;325;288;340
1300300;Autazes ;3272;3322;4291;3225;2950;3477;2095;2150;4060;5076;5135;5068
1300409;Barcelos ;390;397;181;355;307;322;85;398;475;266;86;62
1300508;Barreirinha ;1132;1151;793;659;503;527;551;313;262;237;13;13
1300607;Benjamin Constant ;1772;1795;893;1198;838;1427;820;609;736;192;285;256
1300631;Beruri ;884;898;1269;1644;1079;991;900;638;532;577;107;135
1300680;Boa Vista do Ramos ;858;862;725;803;753;701;523;478;373;480;37;76
1300706;Boca do Acre ;1817;1833;2633;3675;3656;1126;1144;1179;885;925;955;1001
1300805;Borba ;1378;1400;1624;2008;2204;1953;1100;711;957;898;888;1324
1300839;Caapiranga ;1772;1798;969;543;522;501;419;299;277;142;401;331
1300904;Canutama ;487;493;567;315;436;603;32;20;167;167;172;159
1301001;Carauari ;1190;1208;1420;1738;1684;1743;880;745;785;1182;980;1010
1301100;Careiro ;2030;2056;1480;1363;1406;1381;1212;1613;813;797;904;900
1301159;Careiro da Várzea ;1129;1148;1204;1227;1025;730;267;225;270;486;573;772
1301209;Coari ;2355;2696;2402;2212;2149;2971;990;1825;1124;1075;1179;1198
1301308;Codajás ;1608;1645;3053;2932;2525;939;1995;401;170;920;950;935
1301407;Eirunepé ;2245;2273;1747;1821;2015;1904;1132;1028;1141;1663;2808;1721
1301506;Envira ;2056;2064;2815;2928;5922;2605;1957;1675;2105;1885;1720;2028
1301605;Fonte Boa ;4384;3769;544;512;638;270;221;205;255;198;192;186
1301654;Guajará ;1699;1720;641;1108;2123;2300;1646;2174;974;583;556;654
1301704;Humaitá ;3234;3904;2927;2747;2875;2620;2125;2004;2913;3379;3657;6480
1301803;Ipixuna ;1548;1567;1490;283;269;423;322;303;204;244;183;397
1301852;Iranduba ;1184;1197;1453;1392;916;962;697;653;629;784;1450;290
1301902;Itacoatiara ;6844;6928;8808;10414;10862;9744;2870;4588;5896;2651;3634;3531
1301951;Itamarati ;752;761;554;527;469;533;269;383;37;33;33;217
1302009;Itapiranga ;431;439;559;501;544;373;507;472;520;593;494;620
1302108;Japurá ;185;190;194;245;203;336;239;234;336;344;341;335
1302207;Juruá ;713;724;378;302;339;424;267;142;95;125;122;115
1302306;Jutaí ;331;337;723;713;1076;1408;1449;1609;1164;1167;1116;996
1302405;Lábrea ;4643;4691;4138;5467;8105;5763;1352;997;975;1010;594;827
1302504;Manacapuru ;9091;9013;11522;15921;17760;20206;21313;21546;14056;18583;15038;15880
1302553;Manaquiri ;1864;1893;1317;1307;1130;1183;427;1589;1331;1367;1368;1251
1302603;Manaus ;729;741;2791;682;652;445;146;115;147;122;119;309
1302702;Manicoré ;13488;13580;11779;11777;12391;10123;9819;8708;8253;8330;8135;6500
1302801;Maraã ;516;524;1131;332;554;381;564;570;4106;3983;53;52
1302900;Maués ;3458;3495;5563;5272;4527;5526;4543;3385;1771;1010;1710;1848
1303007;Nhamundá ;3269;3312;1737;2222;1924;2081;1005;858;794;770;759;816
1303106;Nova Olinda do Norte ;1043;1057;1189;1136;788;906;1740;1721;1702;1698;1686;1543
1303205;Novo Airão ;613;623;355;393;417;320;444;425;189;425;35;861
1303304;Novo Aripuanã ;1368;1389;1249;1179;1511;1749;843;634;625;1075;1195;1209
1303403;Parintins ;5827;5905;6242;6241;6433;6213;5586;2564;1572;1027;1012;2435
1303502;Pauini ;984;997;1286;1284;825;681;1415;652;540;791;979;1012
1303536;Presidente Figueiredo ;4735;4679;5987;6716;7474;6968;7750;6972;5750;4733;4739;254
1303569;Rio Preto da Eva ;785;795;601;625;1921;1420;1419;1123;963;401;408;410
1303601;Santa Isabel do Rio Negro ;100;103;487;950;950;1052;941;1472;630;250;70;97
1303700;Santo Antônio do Içá ;431;437;682;683;663;884;645;400;437;379;159;170
1303809;São Gabriel da Cachoeira ;2479;2512;361;481;502;423;20;420;472;9;80;90
1303908;São Paulo de Olivença ;255;260;316;794;763;561;82;73;467;445;192;192
1303957;São Sebastião do Uatumã ;220;222;415;707;695;719;750;229;987;987;990;940
1304005;Silves ;1606;1621;573;929;544;1171;59;1147;1106;1089;1236;1516
1304062;Tabatinga ;541;549;500;413;242;189;157;462;468;113;108;142
1304104;Tapauá ;1565;1583;2646;3123;3173;2846;3994;2964;3064;3879;2407;2717
1304203;Tefé ;11653;11808;10389;16452;8954;10297;12276;4823;8347;8661;8786;8562
1304237;Tonantins ;815;826;1559;1570;777;672;230;300;250;221;308;316
1304260;Uarini ;4390;4416;6058;2529;2631;2223;3024;3523;6053;6275;6354;6289
1304302;Urucará ;1396;1416;1760;1622;1007;972;872;508;614;614;592;558
1304401;Urucurituba ;443;439;564;322;296;251;214;202;12;0;206;183
1400027;Amajari ;1604;1731;1732;2922;3632;2932;377;1049;1688;1500;1489;1410
1400050;Alto Alegre ;5014;3772;3775;4521;4832;10598;8100;12195;12387;10189;17218;18060
1400100;Boa Vista ;4356;2901;2910;3690;4236;3950;8999;10855;8050;7556;10221;7300
1400159;Bonfim ;6787;5200;5199;7851;9031;14745;13836;12174;16168;14967;20657;22920
1400175;Cantá ;4463;3575;3591;4036;3676;3451;3451;2484;2338;2413;2788;3270
1400209;Caracaraí ;2040;1598;1603;1918;1748;785;785;763;668;753;491;725
1400233;Caroebe ;1397;1534;1538;1558;1414;1198;1198;811;701;551;510;515
1400282;Iracema ;1857;1907;1902;1912;1757;1103;1103;1098;966;695;3115;684
1400308;Mucajaí ;3598;3803;3808;3935;3355;3358;2066;1383;1484;2182;3241;925
